# 中央・総武: 編成情報

-TypeName: JR東日本 E231 系電車 (500 番台)
都ミツA542: クハE231-542, モハE231-624, モハE230-624, サハE231-642, モハE231-625, モハE230-625, サハE231-542, モハE231-626, モハE230-626, クハE230-542
都ミツA543: クハE231-543, モハE231-627, モハE230-627, サハE231-643, モハE231-628, モハE230-628, サハE231-543, モハE231-629, モハE230-629, クハE230-543
都ミツA544: クハE231-544, モハE231-630, モハE230-630, サハE231-644, モハE231-631, モハE230-631, サハE231-544, モハE231-632, モハE230-632, クハE230-544
都ミツA545: クハE231-545, モハE231-633, モハE230-633, サハE231-645, モハE231-634, モハE230-634, サハE231-545, モハE231-635, モハE230-635, クハE230-545
都ミツA546: クハE231-546, モハE231-636, モハE230-636, サハE231-646, モハE231-637, モハE230-637, サハE231-546, モハE231-638, モハE230-638, クハE230-546
都ミツA547: クハE231-547, モハE231-639, モハE230-639, サハE231-647, モハE231-640, モハE230-640, サハE231-547, モハE231-641, モハE230-641, クハE230-547
都ミツA548: クハE231-548, モハE231-642, モハE230-642, サハE231-648, モハE231-643, モハE230-643, サハE231-548, モハE231-644, モハE230-644, クハE230-548
都ミツA549: クハE231-549, モハE231-645, モハE230-645, サハE231-649, モハE231-646, モハE230-646, サハE231-549, モハE231-647, モハE230-647, クハE230-549
都ミツA550: クハE231-550, モハE231-648, モハE230-648, サハE231-650, モハE231-649, モハE230-649, サハE231-550, モハE231-650, モハE230-650, クハE230-550
都ミツA551: クハE231-551, モハE231-651, モハE230-651, サハE231-651, モハE231-652, モハE230-652, サハE231-551, モハE231-653, モハE230-653, クハE230-551
都ミツA552: クハE231-552, モハE231-654, モハE230-654, サハE231-652, モハE231-655, モハE230-655, サハE231-552, モハE231-656, モハE230-656, クハE230-552

-TypeName: JR東日本 E231 系電車 (0 番台)
都ミツB10: クハE231-10, モハE231-19, モハE230-19, サハE231-29, モハE231-13, モハE230-13, サハE231-30, モハE231-20, モハE230-20, クハE230-10
都ミツB11: クハE231-11, モハE231-21, モハE230-21, サハE231-32, モハE231-9, モハE230-9, サハE231-33, モハE231-22, モハE230-22, クハE230-11
都ミツB12: クハE231-12, モハE231-23, モハE230-23, サハE231-35, モハE231-15, モハE230-15, サハE231-36, モハE231-24, モハE230-24, クハE230-12
都ミツB14: クハE231-14, モハE231-27, モハE230-27, サハE231-41, モハE231-11, モハE230-11, サハE231-42, モハE231-28, モハE230-28, クハE230-14
都ミツB26: クハE231-26, モハE231-51, モハE230-51, サハE231-77, モハE231-31, モハE230-31, サハE231-78, モハE231-52, モハE230-52, クハE230-26
都ミツB27: クハE231-27, モハE231-53, モハE230-53, サハE231-80, モハE231-33, モハE230-33, サハE231-81, モハE231-54, モハE230-54, クハE230-27

