# 山手: 編成情報

-TypeName: JR東日本 E235 系電車 (0 番台)
東トウ41: クハE234-41, モハE234-123, モハE235-123, サハE235-41, モハE234-122, モハE235-122, サハE234-41, モハE234-121, モハE235-121, クハE235-41
東トウ42: クハE234-42, モハE234-126, モハE235-126, サハE235-42, モハE234-125, モハE235-125, サハE234-42, モハE234-124, モハE235-124, クハE235-42
東トウ43: クハE234-43, モハE234-129, モハE235-129, サハE235-43, モハE234-128, モハE235-128, サハE234-43, モハE234-127, モハE235-127, クハE235-43
東トウ44: クハE234-44, モハE234-132, モハE235-132, サハE235-44, モハE234-131, モハE235-131, サハE234-44, モハE234-130, モハE235-130, クハE235-44
東トウ45: クハE234-45, モハE234-135, モハE235-135, サハE235-45, モハE234-134, モハE235-134, サハE234-45, モハE234-133, モハE235-133, クハE235-45
東トウ46: クハE234-46, モハE234-138, モハE235-138, サハE235-46, モハE234-137, モハE235-137, サハE234-46, モハE234-136, モハE235-136, クハE235-46
東トウ47: クハE234-47, モハE234-141, モハE235-141, サハE235-47, モハE234-140, モハE235-140, サハE234-47, モハE234-139, モハE235-139, クハE235-47
東トウ48: クハE234-48, モハE234-144, モハE235-144, サハE235-48, モハE234-143, モハE235-143, サハE234-48, モハE234-142, モハE235-142, クハE235-48
東トウ49: クハE234-49, モハE234-147, モハE235-147, サハE235-49, モハE234-146, モハE235-146, サハE234-49, モハE234-145, モハE235-145, クハE235-49
東トウ50: クハE234-50, モハE234-150, モハE235-150, サハE235-50, モハE234-149, モハE235-149, サハE234-50, モハE234-148, モハE235-148, クハE235-50
